ref	value
C1	1000u 25v
C2	1000u 25v
C3	10u
C4	10u
C5	100n
C6	150p
C7	150p
C8	100n
C9	100n
C10	2n2
C11	2n2
C12	10u
C13	10u
C14	10u
C15	10u
C16	2n2
C17	2u2
C18	2n2
C19	10u
C20	820p
C21	820p
C23	1u
C24	680p
C25	680p
C26	1n8
C27	1n8
C28	270p
C29	270p
C30	1u
C31	1u
C32	820p
C33	680p
C34	1n8
C35	270p
D1	1N5817
D2	1N5817
D3	1N4148
D4	1N4148
D5	1N4148
D6	1N4148
D7	1N4148
P1	15VAC_IN
P2	AUDIO_IN
P3	AUDIO_OUT_1
P4	AUDIO_OUT_2
Q1	2SC1815
Q2	2SC1815
Q3	2SA1015
Q4	2SA1015
Q5	2SC1815
Q6	2SC1815
Q7	2SA1015
Q8	2SA1015
Q9	2SC1815
Q10	2SC1815
Q11	2SA1015
Q12	2SA1015
Q13	2SC1815
Q14	2SA1015
Q15	2SA1015
Q16	2SK30
Q17	2SK30
Q18	2SA1015
Q19	2SA1015
R1	47k
R2	10k
R3	33k
R4	1M
R5	1k
R6	1k
R7	2k2
R8	2k2
R9	33k
R10	33k
R11	330k
R12	330k
R13	33k
R14	33k
R15	1k8
R16	8k2
R17	1k8
R18	8k2
R19	470k
R20	6k8
R21	6k8
R22	10k
R23	10k
R24	470k
R25	2k2
R26	2k2
R27	2k2
R28	2k2
R29	22k
R30	22k
R31	15k
R32	15k
R33	100k
R34	100k
R35	10k
R36	10k
R37	12k
R38	12k
R39	10
R40	10
R41	1k8
R42	1k8
R43	3k3
R44	3k3
R45	3k3
R46	3k3
R47	1k
R48	47k
R49	330
R50	47k
R51	22k
R52	10k
R53	22k
R54	33k
R55	10k
R56	330k
R57	150k
R58	22k
R59	22k
R60	560k
R61	22k
R62	22k
R63	39k
R64	22k
R65	22k
R66	10k
R67	10k
R68	22k
R69	22k
R70	33k
R71	10k
R72	10k
R73	22k
R74	22k
R75	22k
R76	22k
R77	47k
R78	39k
R79	47k
R80	39k
R81	22k
R82	22k
R83	10k
R84	10k
R85	22k
R86	1k
R87	1k
R88	10k
RV1	100k
RV2	100k
RV3	10k
RV4	10k
RV5	100k
SW1	SW_PUSH
U1	TL082
U2	LM7815CT
U3	LM7915CT
U4	TL082
U5	MN3009
U6	MN3101
U7	MN3009
U8	MN3101
U9	TL082
U10	TL082
